Name;Rank;Level;Class;Race;Sex;Last Online (Days);Main/Alt;Player Alts;Join Date;Promo Date;Rank History;Birthday;Public Note;Officer Note;Custom Note;Faction
Borofinal;Imp;60;Paladin;Human;Female;42;;;10 Jun '26;10 Jun '26;Imp: 10 Jun '26;;;Joined: 10 Jun '26 ;;Alliance
Boromoney;Altling;25;Mage;Human;Male;0.08;Alt;Boomrond-WildGrowth,Carnagebonk-WildGrowth,Divinrond-WildGrowth,Eviscerond-WildGrowth,Faraheal-WildGrowth,Healrond-WildGrowth(main),Irvdruid-WildGrowth,Irvh-WildGrowth,Irvmend-WildGrowth,Irvpal-WildGrowth,Mayhempots-WildGrowth,Meanrond-WildGrowth,Sarumancer-WildGrowth,Steelrond-WildGrowth,Wyverond-WildGrowth;30 Nov '25;16 Jan '26;Altling: 16 Jan '26,Imp: 28 Nov '25;;Guildbank0rondo [Ench]37/[TL]64;Joined: 30 Nov '25;;Alliance
Bottis;Altling;60;Priest;Dwarf;Male;49;Alt;Bøttarn-WildGrowth,Evilbot-WildGrowth,Evilheals-WildGrowth,Evilhunta-WildGrowth,Evillockis-WildGrowth,Evilyoda-WildGrowth;18 May '26;18 May '26;Altling: 18 May '26,Imp: 18 May '26;;Sir Evil Bot a lot;Joined: 18 May '26 ;;Alliance
Bottmage;Altling;60;Mage;Gnome;Male;52;Alt;Evilpallyh-WildGrowth(main);26 Apr '26;26 Apr '26;Altling: 26 Apr '26,Imp: 26 Apr '26;;Evilpallyh;Joined: 26 Apr '26 ;;Alliance
Brennessel;Altling;22;Warrior;Human;Female;156;Alt;Fenchel-WildGrowth(main),Hagebutte-WildGrowth,Liebstöckel-WildGrowth;07 Feb '26;07 Feb '26;Altling: 07 Feb '26,Imp: 07 Feb '26;;Fenchel [Mine]92/[Eng]132;Joined: 07 Feb '26 ;;Alliance
Bruderhaus;Imp;60;Paladin;Human;Female;65;;;18 May '26;18 May '26;Imp: 18 May '26;; [Alc]300/[Herb]135;Joined: 18 May '26 ;;Alliance
Brunhiilde;Altling;60;Paladin;Human;Female;3;Alt;Angebode-WildGrowth,Auslag-WildGrowth,Bedem-WildGrowth,Beeowulf-WildGrowth,Grimmnok-WildGrowth,Heahmòund-WildGrowth,Heahmùnd-WildGrowth,Impurrfect-WildGrowth,Laclau-WildGrowth(main),Shortcomings-WildGrowth,Shortcumming-WildGrowth;04 Dec '25;15 Dec '25;Altling: 15 Dec '25,Imp: 04 Dec '25;;Laclau [Eng]/[BS]300;Joined: 04 Dec '25;;Alliance
Bubbliie;Altling;60;Paladin;Human;Female;84;Alt;Akabow-WildGrowth,Akaslam-WildGrowth,Akastab-WildGrowth,Shapíe-WildGrowth(main),Sorcerius-WildGrowth;27 Nov '25;27 Nov '25;Altling: 27 Nov '25,Imp: 27 Nov '25;;Shapie;Joined: 27 Nov '25;;Alliance
Bumbataker;Altling;60;Rogue;Gnome;Male;14;Alt;Czeq-WildGrowth,Denzél-WildGrowth(main),Noøt-WildGrowth,Oompå-WildGrowth,Wonkà-WildGrowth;20 Nov '25;20 Nov '25;Altling: 20 Nov '25,Altling: 21 Nov '25,Altling: 20 Nov '25,Imp: 20 Nov '25;;Denzel [LW]/[Alc]300;Joined: 20 Nov '25;;Alliance
Bumsum;Altling;25;Warlock;Human;Male;2;Alt;Landrath-WildGrowth,Mysticbum-WildGrowth,Sumbum-WildGrowth(main);21 Jul '26;25 Jul '26;Altling: 25 Jul '26,Imp: 21 Jul '26;;big bum theory [TL]147/[Ench]42;Joined: 21 Jul '26 ;;Alliance
Bunnyslipper;Imp;30;Warrior;Gnome;Female;10;;;21 Jun '26;21 Jun '26;Imp: 21 Jun '26;;;Joined: 21 Jun '26 ;;Alliance
Bunní;Altling;60;Mage;Human;Female;2;Alt;Amicia-WildGrowth,Mistí-WildGrowth,Mousíe-WildGrowth,Vivisteria-WildGrowth,Víví-WildGrowth(main);19 May '26;02 Jun '26;Altling: 02 Jun '26,Imp: 19 May '26;;Vivichen [Ench]/[Herb]300;Joined: 19 May '26 ;;Alliance
Burciswaff;Imp;60;Paladin;Dwarf;Female;46;;;13 Jun '26;13 Jun '26;Imp: 13 Jun '26;; [Ench]59/[Mine]292;Joined: 13 Jun '26 ;;Alliance
Bushmaster;Imp;60;Rogue;Night Elf;Male;241;Main;Locksta-WildGrowth;26 Nov '25;26 Nov '25;Imp: 26 Nov '25;;Main [Eng]/[Ench]300;Joined: 26 Nov '25;;Alliance
Bøttarn;Imp;60;Druid;Night Elf;Female;50;Alt;Bottis-WildGrowth,Evilbot-WildGrowth,Evilheals-WildGrowth,Evilhunta-WildGrowth,Evillockis-WildGrowth,Evilyoda-WildGrowth;19 May '26;19 May '26;Imp: 19 May '26;;Evil [Alc]295/[Herb]300;Joined: 19 May '26 ;;Alliance
Cadela;Imp;60;Paladin;Human;Female;87;;;07 Apr '26;07 Apr '26;Imp: 07 Apr '26;; [Mine]83/[Ench]87;Joined: 07 Apr '26 ;;Alliance
Cahir;Arch Fiendling;60;Warlock;Gnome;Male;0.46;Alt;Apollousa-WildGrowth(main),Bellerophon-WildGrowth,Hastalavista-WildGrowth,Illmindofapo-WildGrowth,Incorporeal-WildGrowth,Monotone-WildGrowth,Papagandhi-WildGrowth,Ratatat-WildGrowth;19 Dec '25;20 Dec '25;Arch Fiendling: 20 Dec '25,Imp: 19 Dec '25;;pAppagandhi;Joined: 19 Dec '25;;Alliance
Caity;Altling;60;Rogue;Night Elf;Female;227;Alt;Azzazzeal-WildGrowth(main),Crepuscul-WildGrowth;22 Nov '25;24 Nov '25;Altling: 24 Nov '25;;Azazzeal Tank[Mine]300/[Ench]60;Joined: 22 Nov '25;;Alliance
Camelf;Imp;15;Hunter;Night Elf;Male;116;;;26 Dec '25;26 Dec '25;Imp: 26 Dec '25;;Healrond's kid 2;Joined: 26 Dec '25;;Alliance
Carkq;Imp;60;Paladin;Human;Male;14;;;01 Jul '26;01 Jul '26;Imp: 01 Jul '26;; [Eng]/[BS]225;Joined: 01 Jul '26 ;;Alliance
Carnagebonk;Imp;1;Warrior;Night Elf;Female;0.08;Alt;Boomrond-WildGrowth,Boromoney-WildGrowth,Divinrond-WildGrowth,Eviscerond-WildGrowth,Faraheal-WildGrowth,Healrond-WildGrowth(main),Irvdruid-WildGrowth,Irvh-WildGrowth,Irvmend-WildGrowth,Irvpal-WildGrowth,Mayhempots-WildGrowth,Meanrond-WildGrowth,Sarumancer-WildGrowth,Steelrond-WildGrowth,Wyverond-WildGrowth;11 May '26;11 May '26;Imp: 11 May '26;;;Joined: 11 May '26 ;;Alliance
Casalla;Imp;60;Rogue;Gnome;Male;0.02;Main;;20 Jun '26;20 Jun '26;Imp: 20 Jun '26;;main Casalla: Spanish best shot;Joined: 20 Jun '26 ;;Alliance
Casperlee;Altling;60;Hunter;Night Elf;Female;0.83;Alt;Daney-WildGrowth,Jimmeyy-WildGrowth,Joeeyy-WildGrowth,Johney-WildGrowth(main),Móuse-WildGrowth,Roney-WildGrowth,Yaney-WildGrowth;20 Mar '26;01 May '26;Altling: 01 May '26,Imp: 20 Mar '26,Left Guild: 08 Dec '25,Altling: 26 Nov '25,Imp: 26 Nov '25;;Johney [LW]/[Herb]300;Rejoined: 20 Mar '26 ;;Alliance
Ccw;Altling;60;Warlock;Human;Female;0.46;Alt;Huntter-WildGrowth,Kffc-WildGrowth,Orrp-WildGrowth(main),Priestkw-WildGrowth,Srt-WildGrowth,Trrt-WildGrowth;22 Nov '25;24 Nov '25;Altling: 24 Nov '25;;Orrp [Ench]/[TL]300;Joined: 22 Nov '25;;Alliance
Chadaura;Altling;60;Paladin;Human;Male;0.46;Main;;20 Jun '26;24 Jul '26;Altling: 24 Jul '26,Imp: 20 Jun '26;;SOD Last Hope is here #ChadRun;Joined: 20 Jun '26 ;;Alliance
Chiyomaru;Imp;60;Warrior;Human;Female;14;Alt;Dorkweb-WildGrowth(main),Pallall-WildGrowth;03 May '26;03 May '26;Imp: 03 May '26;;main [BS]/[Eng]300;Joined: 03 May '26 ;;Alliance
Chokladsous;Altling;60;Warrior;Gnome;Female;129;Alt;Diakrath-WildGrowth,Mjini-WildGrowth,Netti-WildGrowth(main),Prata-WildGrowth;23 Nov '25;23 Nov '25;Altling: 23 Nov '25,Imp: 23 Nov '25;;Netti [BS]300/[LW]288;Joined: 23 Nov '25;;Alliance
Ciannait;Altling;60;Warlock;Human;Female;0.21;Alt;Annot-WildGrowth,Barritt-WildGrowth,Detract-WildGrowth,Lunett-WildGrowth,Nerrit-WildGrowth,Prudent-WildGrowth,Robbt-WildGrowth(main),Starlitt-WildGrowth,Truitt-WildGrowth;21 Nov '25;21 Nov '25;Altling: 21 Nov '25;;Robbt [TL]/[Ench]300;Joined: 21 Nov '25;;Alliance
Cickány;Fel Reaver;60;Priest;Human;Female;3;Main;Kickany-WildGrowth;20 Jan '26;09 Mar '26;Fel Reaver: 09 Mar '26,Imp: 20 Jan '26;;main [Eng]/[TL]300;Joined: 20 Jan '26 ;;Alliance
Cielinskiego;Imp;41;Hunter;Night Elf;Male;46;;;13 Jun '26;13 Jun '26;Imp: 13 Jun '26;;;Joined: 13 Jun '26 ;;Alliance
Clankyclick;Imp;1;Druid;Night Elf;Male;29;;;05 Mar '26;05 Mar '26;Imp: 05 Mar '26;;;Joined: 05 Mar '26 ;;Alliance
Clauddiejr;Altling;60;Warrior;Human;Male;7;Alt;Claudiea-WildGrowth,Claudini-WildGrowth(main),Clodette-WildGrowth,Clozy-WildGrowth,Exodini-WildGrowth,Goauld-WildGrowth,Gogordito-WildGrowth;22 Apr '26;28 Apr '26;Altling: 28 Apr '26,Imp: 22 Apr '26;;Clauddie;Joined: 22 Apr '26 ;;Alliance
Claudiea;Altling;60;Rogue;Night Elf;Female;0.75;Alt;Clauddiejr-WildGrowth,Claudini-WildGrowth(main),Clodette-WildGrowth,Clozy-WildGrowth,Exodini-WildGrowth,Goauld-WildGrowth,Gogordito-WildGrowth;24 Mar '26;28 May '26;Altling: 28 May '26,Imp: 24 Mar '26;;Clauddy;Joined: 24 Mar '26 ;;Alliance
Claudini;Fel Reaver;60;Warlock;Gnome;Male;8;Main;Clauddiejr-WildGrowth,Claudiea-WildGrowth,Clodette-WildGrowth,Clozy-WildGrowth,Exodini-WildGrowth,Goauld-WildGrowth,Gogordito-WildGrowth;10 Feb '26;10 Feb '26;Fel Reaver: 10 Feb '26,Imp: 10 Feb '26;;alt [TL]/[Mine]300;Joined: 10 Feb '26 ;;Alliance
Clavigula;Arch Fiend;60;Paladin;Human;Male;0.21;Main;Compostel-WildGrowth;20 Nov '25;17 May '26;Arch Fiend: 17 May '26,Arch Fiendling: 06 May '26,Arch Fiend: 20 Nov '25,Member: 20 Nov '25;;LeFromageQuiMarche[BS]/[Eng]300;Joined: 20 Nov '25 ;;Alliance
Clickerxz;Imp;1;Druid;Night Elf;Female;29;;;05 Mar '26;05 Mar '26;Imp: 05 Mar '26;;;Joined: 05 Mar '26 ;;Alliance
Clikkyclack;Imp;1;Druid;Night Elf;Female;34;;;05 Mar '26;05 Mar '26;Imp: 05 Mar '26;;;Joined: 05 Mar '26 ;;Alliance
Clodette;Altling;60;Priest;Human;Female;8;Alt;Clauddiejr-WildGrowth,Claudiea-WildGrowth,Claudini-WildGrowth(main),Clozy-WildGrowth,Exodini-WildGrowth,Goauld-WildGrowth,Gogordito-WildGrowth;18 Feb '26;18 Feb '26;Altling: 18 Feb '26,Imp: 18 Feb '26;;Claudini [Herb]300;Joined: 18 Feb '26 ;;Alliance
Clonedivilia;Imp;60;Paladin;Human;Female;0.42;;;23 Jun '26;23 Jun '26;Imp: 23 Jun '26;;George;Joined: 23 Jun '26 ;;Alliance
Clozy;Altling;60;Hunter;Night Elf;Female;0.92;Alt;Clauddiejr-WildGrowth,Claudiea-WildGrowth,Claudini-WildGrowth(main),Clodette-WildGrowth,Exodini-WildGrowth,Goauld-WildGrowth,Gogordito-WildGrowth;12 Mar '26;26 Mar '26;Altling: 26 Mar '26,Imp: 12 Mar '26;;Clauddy [LW]44/[Skin]75;Joined: 12 Mar '26 ;;Alliance
Cluu;Altling;60;Hunter;Night Elf;Female;41;Alt;Itscluu-WildGrowth,Notcluu-WildGrowth(main);21 Apr '26;02 Jun '26;Altling: 02 Jun '26,Imp: 21 Apr '26;;notcluu alt [Mine]101;Joined: 21 Apr '26 ;;Alliance
Cnotka;Altling;17;Hunter;Night Elf;Female;131;;;28 Jan '26;28 Jan '26;Altling: 28 Jan '26,Imp: 28 Jan '26;;;Joined: 28 Jan '26 ;;Alliance
Coing;Altling;56;Rogue;Gnome;Male;95;;;20 Apr '26;20 Apr '26;Altling: 20 Apr '26,Imp: 20 Apr '26;;Aeghal [Eng]236/[LW]251;Joined: 20 Apr '26 ;;Alliance
Compostel;Arch Fiendling;60;Priest;Dwarf;Male;0.67;Alt;Clavigula-WildGrowth(main);20 Nov '25;09 Mar '26;Arch Fiendling: 09 Mar '26,Altling: 26 Jan '26,Imp: 20 Nov '25,Imp: 21 Nov '25,Imp: 20 Nov '25;;Clavi [Mine]/[Eng]300;Joined: 20 Nov '25;;Alliance
Constantÿne;Imp;60;Paladin;Human;Male;24;;;16 May '26;16 May '26;Imp: 16 May '26;; [BS]/[Mine]300;Joined: 16 May '26 ;;Alliance
Coodla;Fel Reaver;60;Rogue;Human;Female;132;Main;Matyldicka-WildGrowth;22 Nov '25;24 Nov '25;Fel Reaver: 24 Nov '25;;main [LW]/[Eng]300;Joined: 22 Nov '25;;Alliance
Crepuscul;Altling;60;Mage;Gnome;Male;227;Alt;Azzazzeal-WildGrowth(main),Caity-WildGrowth;22 Nov '25;24 Nov '25;Altling: 24 Nov '25;;Azazzeal [Alc]/[Herb]300;Joined: 22 Nov '25;;Alliance
Cwaniara;Void Knight;60;Rogue;Gnome;Female;131;Main;Forttis-WildGrowth,Furianin-WildGrowth;26 Nov '25;26 Nov '25;Void Knight: 26 Nov '25,Imp: 26 Nov '25;;main [Skin]/[LW]300;Joined: 26 Nov '25;;Alliance
Cyriøn;Altling;60;Paladin;Human;Male;83;Alt;Eyrith-WildGrowth,Tiggadin-WildGrowth,Tiggrou-WildGrowth(main);24 Nov '25;24 Nov '25;Altling: 24 Nov '25,Imp: 24 Nov '25;;Tiggrou [Eng]/[BS]300;Joined: 24 Nov '25;;Alliance
Czeq;Altling;60;Paladin;Dwarf;Male;0.58;Alt;Bumbataker-WildGrowth,Denzél-WildGrowth(main),Noøt-WildGrowth,Oompå-WildGrowth,Wonkà-WildGrowth;21 Nov '25;21 Nov '25;Altling: 21 Nov '25,Fel Reaver: 21 Nov '25;;Denzel Washington;Joined: 21 Nov '25 ;;Alliance
Cátkìtty;Altling;60;Druid;Night Elf;Female;0.46;;;14 Jul '26;25 Jul '26;Altling: 25 Jul '26,Imp: 14 Jul '26;;Destrella/George;Joined: 14 Jul '26 ;;Alliance
Céltic;Imp;21;Paladin;Human;Male;38;;;22 Jun '26;22 Jun '26;Imp: 22 Jun '26;;;Joined: 22 Jun '26 ;;Alliance
Daddycup;Imp;60;Paladin;Human;Male;27;Main;;11 Dec '25;11 Dec '25;Imp: 11 Dec '25;;main [Eng]/[Ench]300;Joined: 11 Dec '25;;Alliance
Dagá;Fel Reaver;60;Warrior;Human;Male;0.08;Main;Mirevi-WildGrowth;19 May '26;13 Jul '26;Fel Reaver: 13 Jul '26,Imp: 19 May '26;;main [Mine]300/[BS]284;Joined: 19 May '26 ;;Alliance
Daifuka;Imp;28;Mage;Gnome;Female;0.83;Alt;Katakura-WildGrowth(main),Perospera-WildGrowth;11 Jun '26;11 Jun '26;Imp: 11 Jun '26;;Alt Katakura;Joined: 11 Jun '26 ;;Alliance
Dalmas;Imp;60;Mage;Gnome;Male;14;;;11 Jun '26;11 Jun '26;Imp: 11 Jun '26;;;Joined: 11 Jun '26 ;;Alliance
Dalyzia;Altling;60;Druid;Night Elf;Female;7;Alt;Arysora-WildGrowth,Bamryso-WildGrowth,Halory-WildGrowth,Mipy-WildGrowth(main),Zalysa-WildGrowth;04 May '26;04 May '26;Altling: 04 May '26,Imp: 04 May '26;;Mipy Demon;Joined: 04 May '26 ;;Alliance
Damonski;Imp;60;Paladin;Human;Male;28;;;01 Jul '26;01 Jul '26;Imp: 01 Jul '26;; [Mine]300/[BS]251;Joined: 01 Jul '26 ;;Alliance
Danathar;Imp;60;Paladin;Human;Male;2;;;26 Jul '26;26 Jul '26;Imp: 26 Jul '26;; [Herb]/[Alc]300;Joined: 26 Jul '26 ;;Alliance
Daney;Altling;60;Hunter;Dwarf;Male;15;Alt;Casperlee-WildGrowth,Jimmeyy-WildGrowth,Joeeyy-WildGrowth,Johney-WildGrowth(main),Móuse-WildGrowth,Roney-WildGrowth,Yaney-WildGrowth;29 Dec '25;01 Jan '26;Altling: 01 Jan '26,Imp: 31 Dec '25,Left Guild: 08 Dec '25,Fel Reaver: 24 Nov '25,Imp: 24 Nov '25;;Johney [Skin]/[Mine]300;Joined: 29 Dec '25;;Alliance
Darksin;Altling;60;Mage;Human;Female;38;;;01 May '26;03 May '26;Altling: 03 May '26,Imp: 01 May '26;;Omize alt;Joined: 01 May '26 ;;Alliance
Dastyrlock;Altling;60;Warlock;Human;Male;12;Alt;Arconteg-WildGrowth,Arkcorn-WildGrowth,Bearlins-WildGrowth,Bladecorn-WildGrowth,Elkho-WildGrowth,Gnorumbras-WildGrowth,Resticlothy-WildGrowth,Spycorn-WildGrowth(main),Tankone-WildGrowth;17 Dec '25;09 Mar '26;Altling: 09 Mar '26,Imp: 17 Dec '25;;Spycorn [Ench]57/[Herb]65;Joined: 17 Dec '25;;Alliance
Davè;Imp;10;Priest;Human;Male;30;Alt;Olìver-WildGrowth(main);30 Jun '26;30 Jun '26;Imp: 30 Jun '26;;Oliver's alt;Joined: 30 Jun '26;;Alliance
Dawnswake;Imp;37;Paladin;Dwarf;Male;27;;;01 Jul '26;01 Jul '26;Imp: 01 Jul '26;; [Eng]1/[Mine]8;Joined: 01 Jul '26;;Alliance
Deadly;Imp;60;Druid;Night Elf;Male;8;;;06 May '26;06 May '26;Imp: 06 May '26;; [Alc]/[Herb]300;Joined: 06 May '26 ;;Alliance
Dejlig;Imp;60;Priest;Night Elf;Female;4;;;26 Jul '26;26 Jul '26;Imp: 26 Jul '26;;main [Alc]300/[Herb]1;Joined: 26 Jul '26 ;;Alliance
Delvîn;Fel Reaver;60;Hunter;Dwarf;Male;0.58;Main;Larîssa-WildGrowth;17 May '26;13 Jul '26;Fel Reaver: 13 Jul '26,Imp: 17 May '26;;main [LW]/[Skin]300;Joined: 17 May '26 ;;Alliance
Demolock;Imp;60;Rogue;Human;Female;163;Main;;31 Jan '26;31 Jan '26;Imp: 31 Jan '26;;main [Skin]272/[Herb]300;Joined: 31 Jan '26 ;;Alliance
Demonfleisch;Altling;60;Warlock;Gnome;Female;4;Alt;Eulenvlees-WildGrowth,Kleinfleisch-WildGrowth,Knackfleisch-WildGrowth(main);19 Dec '25;19 Dec '25;Altling: 19 Dec '25,Imp: 19 Dec '25;;Fleischnacken [Herb]/[LW]300;Joined: 19 Dec '25;;Alliance
Denhar;Imp;52;Rogue;Human;Male;3;;;27 Jul '26;27 Jul '26;Imp: 27 Jul '26;; [Mine]9/[BS]1;Joined: 27 Jul '26 ;;Alliance
Denzél;Void Knight;60;Warrior;Gnome;Male;0.54;Main;Bumbataker-WildGrowth,Czeq-WildGrowth,Noøt-WildGrowth,Oompå-WildGrowth,Wonkà-WildGrowth;20 Nov '25;17 Jun '26;Void Knight: 17 Jun '26,Fel Reaver: 20 Nov '25,Imp: 20 Nov '25;;main Denzel Washington¿;Joined: 20 Nov '25;;Alliance
Destrella;Fel Reaver;60;Rogue;Gnome;Female;0.46;Main;Georgeington-WildGrowth,Voidgorge-WildGrowth,Waldalo-WildGrowth;24 May '26;04 Jul '26;Fel Reaver: 04 Jul '26,Imp: 24 May '26;;main [Mine]/[Alc]300;Joined: 24 May '26 ;;Alliance
Detract;Altling;60;Rogue;Human;Female;2;Alt;Annot-WildGrowth,Barritt-WildGrowth,Ciannait-WildGrowth,Lunett-WildGrowth,Nerrit-WildGrowth,Prudent-WildGrowth,Robbt-WildGrowth(main),Starlitt-WildGrowth,Truitt-WildGrowth;21 Nov '25;21 Nov '25;Altling: 21 Nov '25;;Robbt [Eng]/[LW]300;Joined: 21 Nov '25;;Alliance
Diakrath;Altling;60;Priest;Human;Female;72;Alt;Chokladsous-WildGrowth,Mjini-WildGrowth,Netti-WildGrowth(main),Prata-WildGrowth;26 Nov '25;06 Jan '26;Altling: 06 Jan '26,Imp: 26 Nov '25;;Netti [TL]300/[Alc]290;Joined: 26 Nov '25;;Alliance
Divilia;Altling;60;Paladin;Human;Female;0.33;;;14 Jun '26;13 Jul '26;Altling: 13 Jul '26,Imp: 14 Jun '26;;Destrella [TL]300/[Ench]260;Joined: 14 Jun '26 ;;Alliance
Divinrond;Imp;13;Paladin;Human;Female;6;Alt;Boomrond-WildGrowth,Boromoney-WildGrowth,Carnagebonk-WildGrowth,Eviscerond-WildGrowth,Faraheal-WildGrowth,Healrond-WildGrowth(main),Irvdruid-WildGrowth,Irvh-WildGrowth,Irvmend-WildGrowth,Irvpal-WildGrowth,Mayhempots-WildGrowth,Meanrond-WildGrowth,Sarumancer-WildGrowth,Steelrond-WildGrowth,Wyverond-WildGrowth;08 Jun '26;08 Jun '26;Imp: 08 Jun '26;;;Joined: 08 Jun '26 ;;Alliance
Dodia;Altling;60;Rogue;Human;Female;41;Alt;Indigen-WildGrowth,Pantherhands-WildGrowth,Undia-WildGrowth(main);07 Apr '26;07 Apr '26;Altling: 07 Apr '26,Imp: 07 Apr '26;;Undia [LW]/[Ench]300;Joined: 07 Apr '26 ;;Alliance
Dogatemyball;Imp;60;Priest;Dwarf;Male;3;;;27 Jul '26;27 Jul '26;Imp: 27 Jul '26;;husca alt [Alc]254/[TL]258;Joined: 27 Jul '26 ;;Alliance
Dolchomatin;Altling;60;Rogue;Night Elf;Female;1;Alt;Ranogar-WildGrowth(main);16 Jul '26;16 Jul '26;Altling: 16 Jul '26,Imp: 16 Jul '26;;Ranogar [Mine]/[Skin]300;Joined: 16 Jul '26 ;;Alliance
Dorant;Fel Reaver;60;Warlock;Human;Male;72;Main;Gruffee-WildGrowth,Pellinore-WildGrowth,Slugger-WildGrowth;21 Nov '25;13 Feb '26;Fel Reaver: 13 Feb '26,Altling: 11 Dec '25,Imp: 21 Nov '25;;main [Ench]/[TL]300;Joined: 21 Nov '25;;Alliance
Dorfmiez;Imp;41;Druid;Night Elf;Female;1;;;28 Jul '26;28 Jul '26;Imp: 28 Jul '26;; [Skin]/[LW]1;Joined: 28 Jul '26 ;;Alliance
Dorkweb;Altling;60;Druid;Night Elf;Female;7;Main;Chiyomaru-WildGrowth,Pallall-WildGrowth;10 May '26;10 May '26;Altling: 10 May '26,Imp: 10 May '26;;Chiyomaru [Mine]/[Herb]300;Joined: 10 May '26 ;;Alliance
Douchegician;Imp;60;Mage;Gnome;Male;3;;;26 Apr '26;26 Apr '26;Imp: 26 Apr '26;;main [Ench]/[TL]300;Joined: 26 Apr '26 ;;Alliance
Douchekin;Altling;60;Druid;Night Elf;Male;3;;;09 Jul '26;26 Jul '26;Altling: 26 Jul '26,Imp: 09 Jul '26;;Douchegician [Eng]269/[Mine]251;Joined: 09 Jul '26 ;;Alliance
Douchemuffin;Imp;60;Rogue;Human;Male;3;;;19 May '26;19 May '26;Imp: 19 May '26;; [Alc]/[Herb]300;Joined: 19 May '26 ;;Alliance
Dovaah;Imp;60;Paladin;Dwarf;Male;62;Main;Dovahhunt-WildGrowth;29 Apr '26;29 Apr '26;Imp: 29 Apr '26;;main :D [Ench]/[Mine]300;Joined: 29 Apr '26;;Alliance
Dovahhunt;Altling;45;Hunter;Dwarf;Male;62;Alt;Dovaah-WildGrowth(main);06 May '26;09 May '26;Altling: 09 May '26,Imp: 06 May '26;;Dovaah [Skin]300/[LW]34;Joined: 06 May '26 ;;Alliance
Dracobanko;Arch Fiendling;60;Mage;Gnome;Female;0.04;Alt;Aqdonna-WildGrowth,Dracobook-WildGrowth,Dracoclone-WildGrowth,Dracodraco-WildGrowth,Dracoheal-WildGrowth,Dracoherb-WildGrowth,Dracohunter-WildGrowth,Dracolight-WildGrowth,Dracolóck-WildGrowth,Dracomage-WildGrowth,Dracomagic-WildGrowth,Dracomine-WildGrowth,Draconaderix-WildGrowth,Draconature-WildGrowth(main),Draconaz-WildGrowth,Draconette-WildGrowth,Draconisse-WildGrowth,Dracorogue-WildGrowth,Dracosilver-WildGrowth,Dracosmash-WildGrowth,Dracostar-WildGrowth,Monkeybutler-WildGrowth,Zgstella-WildGrowth;05 Mar '26;25 Mar '26;Arch Fiendling: 25 Mar '26,Imp: 05 Mar '26;;;Joined: 05 Mar '26 ;;Alliance
Dracobook;Arch Fiendling;60;Druid;Night Elf;Female;0.92;Alt;Aqdonna-WildGrowth,Dracobanko-WildGrowth,Dracoclone-WildGrowth,Dracodraco-WildGrowth,Dracoheal-WildGrowth,Dracoherb-WildGrowth,Dracohunter-WildGrowth,Dracolight-WildGrowth,Dracolóck-WildGrowth,Dracomage-WildGrowth,Dracomagic-WildGrowth,Dracomine-WildGrowth,Draconaderix-WildGrowth,Draconature-WildGrowth(main),Draconaz-WildGrowth,Draconette-WildGrowth,Draconisse-WildGrowth,Dracorogue-WildGrowth,Dracosilver-WildGrowth,Dracosmash-WildGrowth,Dracostar-WildGrowth,Monkeybutler-WildGrowth,Zgstella-WildGrowth;02 Apr '26;25 Apr '26;Arch Fiendling: 25 Apr '26,Altling: 02 Apr '26,Imp: 02 Apr '26;;Draco in the library;Joined: 02 Apr '26 ;;Alliance
Dracoclone;Arch Fiendling;60;Druid;Night Elf;Female;0.13;Alt;Aqdonna-WildGrowth,Dracobanko-WildGrowth,Dracobook-WildGrowth,Dracodraco-WildGrowth,Dracoheal-WildGrowth,Dracoherb-WildGrowth,Dracohunter-WildGrowth,Dracolight-WildGrowth,Dracolóck-WildGrowth,Dracomage-WildGrowth,Dracomagic-WildGrowth,Dracomine-WildGrowth,Draconaderix-WildGrowth,Draconature-WildGrowth(main),Draconaz-WildGrowth,Draconette-WildGrowth,Draconisse-WildGrowth,Dracorogue-WildGrowth,Dracosilver-WildGrowth,Dracosmash-WildGrowth,Dracostar-WildGrowth,Monkeybutler-WildGrowth,Zgstella-WildGrowth;27 Dec '25;30 Jan '26;Arch Fiendling: 30 Jan '26,Altling: 16 Jan '26,Imp: 27 Dec '25;;Draco mirrored [Eng]/[Ench]300;Joined: 27 Dec '25;;Alliance
Dracodraco;Arch Fiendling;60;Druid;Night Elf;Female;0.92;Alt;Aqdonna-WildGrowth,Dracobanko-WildGrowth,Dracobook-WildGrowth,Dracoclone-WildGrowth,Dracoheal-WildGrowth,Dracoherb-WildGrowth,Dracohunter-WildGrowth,Dracolight-WildGrowth,Dracolóck-WildGrowth,Dracomage-WildGrowth,Dracomagic-WildGrowth,Dracomine-WildGrowth,Draconaderix-WildGrowth,Draconature-WildGrowth(main),Draconaz-WildGrowth,Draconette-WildGrowth,Draconisse-WildGrowth,Dracorogue-WildGrowth,Dracosilver-WildGrowth,Dracosmash-WildGrowth,Dracostar-WildGrowth,Monkeybutler-WildGrowth,Zgstella-WildGrowth;02 Jun '26;02 Jun '26;Arch Fiendling: 02 Jun '26,Imp: 02 Jun '26;;Draco in Brazil [Skin]28/[LW]1;Joined: 02 Jun '26 ;;Alliance
